feature,importance
cat__route_DEN_IAH,1.3771199601496207e-05
cat__route_DFW_LGA,1.3735939322558918e-05
cat__route_DCA_ATL,1.3689150831854055e-05
cat__route_LAX_BDL,1.367489310085136e-05
cat__route_MSP_LAS,1.3614670553799046e-05
cat__route_BOS_DCA,1.350860016633413e-05
cat__route_JFK_LAX,1.3491044859572801e-05
cat__Dest_BUF,1.3438852957847743e-05
cat__route_LAX_DEN,1.3409896824211345e-05
cat__route_MSP_SEA,1.3380808712957384e-05
cat__route_LAS_SJC,1.334445948985209e-05
cat__route_CLT_LAS,1.3324621016489318e-05
cat__route_PHX_DFW,1.3322392578147117e-05
cat__route_DEN_SLC,1.3308352437513273e-05
cat__route_CLT_LGA,1.3271926132964501e-05
cat__route_BOS_ATL,1.3197672701456003e-05
cat__route_EWR_CLT,1.318077780013006e-05
cat__route_LAX_DFW,1.3180490671304618e-05
cat__Dest_MEM,1.2961575179294201e-05
cat__Dest_MDT,1.2913903509325168e-05
cat__Dest_SGF,1.2910401507720873e-05
cat__route_SFO_DEN,1.28497262240334e-05
cat__route_MCO_CLE,1.2827940568039548e-05
cat__route_ATL_EWR,1.2800997386959443e-05
cat__Dest_ILM,1.279657840962978e-05
cat__route_DEN_ASE,1.2749543963439387e-05
cat__Dest_ATW,1.267368001446885e-05
cat__route_MIA_ATL,1.2658370320963064e-05
cat__Dest_XNA,1.2611263174638835e-05
cat__route_SFO_SEA,1.2610386133908788e-05
cat__Dest_EYW,1.260774212508225e-05
cat__route_PHX_DAL,1.2584542977661885e-05
cat__route_ATL_PHL,1.2530374839228703e-05
cat__Dest_SAV,1.2496701861000859e-05
cat__route_SFO_LAS,1.241769198039993e-05
cat__Dest_CHO,1.2309788761684562e-05
cat__route_BOS_RSW,1.2303429848168165e-05
cat__route_LAS_DEN,1.2266213534344377e-05
cat__route_ATL_PNS,1.225811417433697e-05
cat__route_DTW_CLT,1.2239948625745743e-05
cat__route_SEA_RDM,1.2213135745610919e-05
cat__route_LAS_MKE,1.2186841673131646e-05
cat__route_LAX_PHX,1.2123787441779676e-05
cat__Dest_GFK,1.2123171028208721e-05
cat__route_DTW_MDW,1.208730866329373e-05
cat__route_LAX_FLL,1.2053958364854716e-05
cat__route_ATL_BWI,1.2035296027008934e-05
cat__route_DEN_TUS,1.1978646776995032e-05
cat__Dest_LIH,1.172052127519029e-05
cat__route_DFW_SNA,1.1686695561522309e-05
cat__route_ATL_CMH,1.168361465927419e-05
cat__route_LAX_ORD,1.1677600185622178e-05
cat__route_LAX_LIH,1.1672592805672383e-05
cat__route_ORD_MCO,1.1625572919113394e-05
cat__Dest_HPN,1.1548239908219831e-05
cat__route_SEA_HNL,1.1503210793675758e-05
cat__route_ATL_GTR,1.142712593595645e-05
cat__route_DCA_IAH,1.1388414398213894e-05
cat__route_DEN_SEA,1.1347860313709408e-05
cat__route_BOS_MIA,1.1311310600975311e-05
cat__Dest_PWM,1.1265386103275826e-05
cat__Dest_CHS,1.121310481968155e-05
cat__route_SFO_ASE,1.1211039344614379e-05
cat__route_JFK_DFW,1.1208157822977628e-05
cat__route_MCO_ORD,1.1189791610397244e-05
cat__route_BOS_EWR,1.1176783924801163e-05
cat__route_EWR_SEA,1.1164494158126436e-05
cat__route_DFW_TXK,1.1152858616739073e-05
cat__route_DCA_DEN,1.1143405531363003e-05
cat__route_LAS_DTW,1.1132742350057222e-05
cat__route_LAS_MCI,1.10753387115596e-05
cat__Dest_FAT,1.1037025492666896e-05
